SIM Operator,SIM Type,Packages Type,Package Volume,Validity Days,Price
Airtel,Regular SIM,Data,1GB FB + Insta,15,12.00
Airtel,Regular SIM,Data,300MB,3,17.00
Airtel,Regular SIM,Data,700 MB (100MB Bonus),3,29.00
Airtel,Regular SIM,Data,612 MB,3,32.00
Airtel,Regular SIM,Data,612 MB,30,132.00
Airtel,Regular SIM,Data,750 MB,3,38.00
Airtel,Regular SIM,Data,2.5GB (1.1GB Bonus),3,49.00
Airtel,Regular SIM,Data,1.5 GB,3,57.00
Airtel,Regular SIM,Data,2 GB,7,101.00
Airtel,Regular SIM,Data,3GB,3,63.00
Airtel,Regular SIM,Data,3GB,30,229.00
Airtel,Regular SIM,Data,5 GB,3,68.00
Airtel,Regular SIM,Data,4.5GB,7,114.00
Airtel,Regular SIM,Data,5GB,30,249.00
Airtel,Regular SIM,Data,3 GB,3,76.00
Airtel,Regular SIM,Data,5.5GB,3,89.00
Airtel,Regular SIM,Data,5GB,7,129.00
Airtel,Regular SIM,Data,20GB (5GB Bonus),7,147.00
Airtel,Regular SIM,Data,20GB (5GB Bonus),30,344.00
Airtel,Regular SIM,Data,30GB,30,398.00
Airtel,Regular SIM,Data,35GB ( 5GB Bonus),30,429.00
Airtel,Regular SIM,Data,800 MB 15 min,30,36.00
Airtel,Regular SIM,Combo Package,1GB + 20min,3,36.00
Airtel,Regular SIM,Combo Package,1.5 GB + 25 min,3,67.00
Airtel,Regular SIM,Combo Package,1.5GB + 25min,7,98.00
Airtel,Regular SIM,Combo Package,1GB + 70Min,30,158.00
Airtel,Regular SIM,Combo Package,3GB + 150Min,7,128.00
Airtel,Regular SIM,Combo Package,4GB + 150Min,30,198.00
Airtel,Regular SIM,Combo Package,4GB + 475min,30,298.00
Airtel,Regular SIM,Combo Package,7GB + 300Min,30,299.00
Airtel,Regular SIM,Combo Package,6 GB + 200Min,30,348.00
Airtel,Regular SIM,Combo Package,25GB + 700Min,30,498.00
Airtel,Regular SIM,Combo Package,28GB + 750min,30,548.00
Airtel,Regular SIM,Combo Package,35GB + 900Min,30,598.00
Airtel,Regular SIM,Combo Package,25GB + 500 Min,30,648.00
Airtel,Regular SIM,Combo Package,40 GB + 600 Min,30,799.00
Airtel,Regular SIM,Combo Package,4 GB + 475 Min,3,293.00
Airtel,Regular SIM,Combo Package,4 GB + 475 Min,7,295.00
Airtel,Regular SIM,Combo Package,4 GB + 475 Min,15,297.00
Airtel,Regular SIM,Combo Package,1 GB + 1000 Min,3,601.00
Airtel,Regular SIM,Combo Package,1 GB + 1000 Min,7,602.00
Airtel,Regular SIM,Combo Package,1 GB + 1000 Min,15,603.00
Airtel,Regular SIM,Combo Package,1 GB + 1000 Min,30,604.00
Airtel,Regular SIM,Data,1.4 GB,3,49.00
Airtel,Regular SIM,Data,1.7 GB,3,49.00
Airtel,Regular SIM,Combo Package,10 GB + 300 MIN,30,348.00
Airtel,Regular SIM,Combo Package,4 GB + 200 MIN,30,198.00
Airtel,Regular SIM,Combo Package,3GB + 150Min,30,219.00
Airtel,Regular SIM,Combo Package,8GB + 200Min,30,397.00
Airtel,Regular SIM,Data,40 GB,30,549.00
Airtel,Regular SIM,Data,15 GB,30,399.00
